country,sattype,satpurpose,satid
USA,Military,Technology Development,42922
United Kingdom,Commercial,Technology Development,42786
United Kingdom,Commercial,Technology Development,42785
United Kingdom,Commercial,Technology Development,42783
Switzerland,Commercial,Technology Development,42000
Switzerland,Commercial,Space Science,46284
USA,Commercial,Communications,31862
USA,Commercial,Communications,32729
USA,Commercial,Communications,36131
USA,Commercial,Communications,40333
USA,Commercial,Communications,40663
USA,Commercial,Communications,27426
USA,Commercial,Communications,28659
USA,Commercial,Communications,29494
Denmark,Civil,Space Science,56222
Japan,Civil,Earth Observation,43678
Germany,Government,Earth Science,25757
United Kingdom,Commercial,Earth Observation,40715
United Kingdom,Commercial,Earth Observation,40716
United Kingdom,Commercial,Earth Observation,40717
United Arab Emirates,Government,Earth Observation,47940
USA,Military,Earth Observation,24753
USA,Military,Earth Observation,25991
USA,Military,Earth Observation,28054
USA,Military,Earth Observation,29522
USA,Military,Earth Observation,35951
USA,Civil/Commercial,Technology Development,51084
United Kingdom,Commercial,Technology Development,44399
USA,Commercial,Earth Observation,43905
USA,Commercial,Earth Observation,43893
USA,Commercial,Earth Observation,43899
USA,Commercial,Earth Observation,43902
USA,Commercial,Earth Observation,43906
USA,Commercial,Earth Observation,42997
USA,Commercial,Earth Observation,41975
USA,Commercial,Earth Observation,41972
USA,Commercial,Earth Observation,41966
USA,Commercial,Earth Observation,42018
USA,Commercial,Earth Observation,41968
USA,Commercial,Earth Observation,42023
USA,Commercial,Earth Observation,41990
USA,Commercial,Earth Observation,41988
USA,Commercial,Earth Observation,41965
USA,Commercial,Earth Observation,42031
USA,Commercial,Earth Observation,42001
USA,Commercial,Earth Observation,42029
USA,Commercial,Earth Observation,42014
USA,Commercial,Earth Observation,42041
USA,Commercial,Earth Observation,41978
USA,Commercial,Earth Observation,41977
USA,Commercial,Earth Observation,42009
USA,Commercial,Earth Observation,42034
USA,Commercial,Earth Observation,42028
USA,Commercial,Earth Observation,42027
USA,Commercial,Earth Observation,42048
USA,Commercial,Earth Observation,42019
USA,Commercial,Earth Observation,42026
USA,Commercial,Earth Observation,43747
USA,Commercial,Earth Observation,43725
USA,Commercial,Earth Observation,43724
USA,Commercial,Earth Observation,43733
USA,Commercial,Earth Observation,43741
USA,Commercial,Earth Observation,43742
USA,Commercial,Earth Observation,43723
USA,Commercial,Earth Observation,43769
USA,Commercial,Earth Observation,44088
USA,Commercial,Earth Observation,44090
USA,Commercial,Earth Observation,44080
USA,Commercial,Earth Observation,44095
USA,Commercial,Earth Observation,44098
USA,Commercial,Earth Observation,46813
USA,Commercial,Earth Observation,46820
USA,Commercial,Earth Observation,46819
USA,Commercial,Earth Observation,46821
USA,Commercial,Earth Observation,46817
USA,Commercial,Earth Observation,46822
USA,Commercial,Earth Observation,46814
USA,Commercial,Earth Observation,46816
USA,Commercial,Earth Observation,46815
USA,Commercial,Earth Observation,44814
USA,Commercial,Earth Observation,44808
USA,Commercial,Earth Observation,44809
USA,Commercial,Earth Observation,44812
USA,Commercial,Earth Observation,44811
USA,Commercial,Earth Observation,44818
USA,Commercial,Earth Observation,44816
USA,Commercial,Earth Observation,47543
USA,Commercial,Earth Observation,47523
USA,Commercial,Earth Observation,47462
USA,Commercial,Earth Observation,47471
USA,Commercial,Earth Observation,47472
USA,Commercial,Earth Observation,47528
USA,Commercial,Earth Observation,47521
USA,Commercial,Earth Observation,47516
USA,Commercial,Earth Observation,47492
USA,Commercial,Earth Observation,47496
USA,Commercial,Earth Observation,47500
USA,Commercial,Earth Observation,47498
USA,Commercial,Earth Observation,47540
USA,Commercial,Earth Observation,47456
USA,Commercial,Earth Observation,47452
USA,Commercial,Earth Observation,47545
USA,Commercial,Earth Observation,47539
USA,Commercial,Earth Observation,47542
USA,Commercial,Earth Observation,47495
USA,Commercial,Earth Observation,47514
USA,Commercial,Earth Observation,47494
USA,Commercial,Earth Observation,47544
USA,Commercial,Earth Observation,47475
